Compound_ID,Murcko_Scaffold,QSAR_Rank,SMILES,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Lipinski_Violations,XGBoost_pActivity,RandomForest_pActivity,Consensus_pActivity,Model_difference,Max_Morgan_Tanimoto,SA_Score,Max_Murcko_Scaffold_Similarity,HTVS_Priority_Score
BCRL00011,C(#CC(NCc1ccco1)c1ccccc1)c1n[nH]c2nsnc12,234980,O=[N+]([O-])c1ccc(C(C#Cc2n[nH]c3nsnc23)NCc2ccco2)cc1,380.3890000000001,2.7982000000000014,2,8,122.77,5,0,5.5593357,5.180928840955857,5.370132274787011,0.3784068676623073,0.25,3.778,0.315,0.5941061248589246
BCRL00012,C(#CC(NN=C1CCCC1)c1ccccc1)c1ccccc1,291626,NC(=O)C1CCCC1=NNC(C#Cc1ccccc1)c1ccccc1,331.4190000000001,3.010400000000001,2,3,67.48,4,0,5.196179,5.229293085576986,5.21273599934672,0.0331141724605306,0.254,3.545,0.25,0.6041917530086027
BCRL00013,C(#CC(Nc1ccc2c(c1)CCN2)c1cccc(-c2cncnc2)c1)c1cccnc1,27492,COc1ccc(C#CC(Nc2ccc3c(c2)CCN3C(=O)CN(C)C)c2cccc(-c3cncnc3)c2)cn1,518.6210000000002,4.202800000000003,1,7,83.48,7,1,6.822109,6.214988973040618,6.518549097726364,0.6071202493714916,0.265,3.458,0.305,0.6568252173265193
BCRL00014,C(#CC(Nc1nc2ccccn2n1)c1ccccc1)c1cccnc1,161915,Fc1ccc(C(C#Cc2cccnc2)Nc2nc3ccccn3n2)cc1,343.36500000000007,3.468300000000001,1,4,55.11,3,0,5.5769725,5.607667692566631,5.592320088577627,0.0306952079780078,0.257,3.231,0.266,0.6267563777387996
BCRL00015,C(#CC(OC1CCCC1)c1ccccc1)c1cncnc1N1CCOCC1,151398,Cc1ncnc(N2CCOCC2)c1C#CC(OC1CCCC1)c1cccc(C#N)c1,402.4980000000002,3.545300000000003,0,6,71.27000000000001,4,0,5.4909086,5.7648754134637885,5.627892018102743,0.2739667907220893,0.27,3.446,0.325,0.6080804940330587
BCRL00016,C(#CC(OCC1CC1)c1ccccc1)c1ccc2nc[nH]c2c1,40732,Cc1nc2ccc(C#CC(O)(OCC3CC3)c3ccc(OC(F)(F)F)cc3)cc2n1C,430.426,4.403720000000003,1,4,56.51000000000001,5,0,6.478315,6.059626192424642,6.268970534490519,0.4186886841317543,0.278,3.487,0.382,0.6251781270159451
BCRL00017,C(#CC(Oc1ccccc1)c1ccccc1)c1ccc(CN2CCOCC2)cc1,348600,CCOC(=O)c1ccc(OC(C#Cc2ccc(CN3CCOCC3)cc2)c2ccccc2)cc1,455.5540000000002,4.867300000000005,0,5,48.0,7,0,4.8722825,5.239947791163844,5.056115148099622,0.3676652861284433,0.38,2.826,0.362,0.5605655097363306
BCRL00018,C(#CC(Oc1ccccc1)c1ccccc1)c1cnc2cccnn12,64868,OCc1cccc(C(C#Cc2cnc3cccnn23)Oc2ccc(O)cc2)c1,371.3960000000001,3.099000000000001,2,5,79.88000000000001,4,0,6.2293534,5.835642273766263,6.032497850826613,0.3937111541206999,0.323,3.378,0.413,0.5988254692063881
BCRL00019,C(#CC(Oc1ccccc1)c1ccccn1)c1cncnc1,208051,Cc1ncnc(C)c1C#CC(Oc1ccc(Br)cc1)c1ccccn1,394.2720000000001,4.422740000000004,0,4,47.900000000000006,3,0,5.2584047,5.638540467621134,5.448472599685811,0.3801357358706454,0.239,3.269,0.378,0.6008332166798447
BCRL00020,C(#CC(Oc1ccccc1)c1cccnc1)c1ccncn1,102885,Cc1cc(C#CC(Oc2ccc(C(C)(C)C)cc2)c2cccnc2)ncn1,357.457,4.649320000000005,0,4,47.900000000000006,3,0,5.818796,5.818277145032106,5.81853665143451,0.0005190128048084,0.266,3.283,0.28,0.6315297292523826
BCRL00021,C(#CC(SCc1c[nH]nn1)c1ccccc1)c1ccccc1,151550,Cc1ccc(C(C#Cc2ccccc2C(N)=O)SCc2c[nH]nn2)c(O)c1,378.4570000000001,2.94382,3,5,104.89,5,0,5.6447687,5.609982263625259,5.627375489265022,0.0347864512795261,0.234,3.761,0.269,0.6203800956636539
BCRL00022,C(#CC(c1[nH]nc2ccncc12)C1CC1)c1ccc(-c2ccccn2)cc1,37606,Cc1ccnc(-c2ccc(C#CC(O)(c3[nH]nc4ccncc34)C3CC3)c(N)c2)c1,395.4660000000002,3.559820000000001,3,5,100.71,3,0,6.499683,6.128603141266178,6.314143022277987,0.3710797620236166,0.282,3.659,0.302,0.6380993147753974
BCRL00023,C(#CC(c1ccccc1)C1CCC1)c1ccc2n[nH]cc2c1,105489,Nc1[nH]nc2ccc(C#CC(O)(c3cccc(F)c3)C3CCC3)cc12,335.3820000000001,3.3236000000000017,3,3,74.93,2,0,5.9565196,5.656044542834077,5.806282073281663,0.3004750608951712,0.267,3.446,0.281,0.6264021563075757
BCRL00024,C(#CC(c1ccccc1)N1CCN(c2ccncn2)CC1)c1ccccc1,91119,CNC(=O)c1cccc(C#CC(c2ccccc2)N2CCN(c3cc(C(F)(F)F)ncn3)CC2)c1,479.50600000000026,3.770000000000003,1,5,61.36000000000001,4,0,5.707647,6.041959765776617,5.874803306273929,0.3343129190053764,0.337,3.185,0.462,0.5825964310905158
BCRL00025,C(#CC(c1ccccc1)N1CCNCC1)c1ccc2nc[nH]c2c1,101453,CCn1cnc2ccc(C#CC(c3ccc(C)cc3)N3CCN(C)CC3)cc21,372.5160000000002,3.7048200000000016,0,3,24.300000000000004,3,0,5.7385964,5.911665654613075,5.825131046987323,0.1730692152515027,0.255,3.064,0.421,0.6118789839348302
BCRL00026,C(#CC(c1ccccc1)N1CCNCC1)c1cncc(-c2c[nH]c3ncncc23)c1,19989,CN1CCN(C(C#Cc2cncc(-c3c[nH]c4ncnc(N)c34)c2)c2ccccc2)CC1,423.5240000000002,2.942300000000001,2,6,86.96,3,0,7.2640867,6.285239922308695,6.774663322818165,0.9788468010189416,0.289,3.371,0.405,0.6455936743101593
BCRL00027,C(#CC(c1ccccc1)N1CCOCC1)c1cn[nH]c1,219829,Cn1cc(C#CC(c2ccc(F)cc2F)N2CCOCC2)cn1,317.33900000000006,2.1233000000000004,0,3,30.29,2,0,5.118923,5.708201709060757,5.413562448158308,0.5892785218048973,0.263,3.36,0.281,0.6102416408379664
BCRL00028,C(#CC(c1ccccc1)c1c[nH]c2ncncc12)c1ccccc1,99504,CN(C)c1ccc(C(C#Cc2cccc(F)c2)c2cn(C)c3ncnc(N)c23)cc1,399.4730000000001,3.939200000000002,1,4,59.97,3,0,5.782971,5.885635596115155,5.834303250709555,0.1026646908112001,0.464,3.318,0.46,0.5459299926711849
BCRL00029,C(#CC(c1ccccc1)c1cc(-c2ccco2)c[nH]1)c1cnc2[nH]ncc2c1,41697,CCc1ccc(C(O)(C#Cc2cnc3[nH]ncc3c2)c2cc(-c3ccco3)c[nH]2)cc1,408.4610000000001,4.396000000000003,3,4,90.73,4,0,6.3067603,6.204705874677717,6.255733092902213,0.1020544364489923,0.293,3.707,0.286,0.6344772254459289
BCRL00030,C(#CC(c1ccccc1)c1ccc(-c2ncno2)cc1)c1cccnc1,133846,Fc1ccc(C(C#Cc2cccnc2)c2ccc(-c3ncno3)cc2)cc1,355.37200000000007,4.454300000000004,0,4,51.81,3,0,5.7733803,5.609248142240932,5.691314210890974,0.1641321373000837,0.246,3.142,0.262,0.63739904262754
BCRL00031,C(#CC(c1ccccc1)c1ccc2ncncc2c1)c1cncnc1,57532,CCc1ccc(C(C#Cc2cncnc2)c2ccc3ncnc(NCCCO)c3c2)cc1,423.5200000000002,3.9601000000000015,2,6,83.82000000000001,7,0,6.2778897,5.9005815407101245,6.0892356346281336,0.377308187836018,0.291,3.279,0.362,0.6222903370452222
BCRL00032,C(#CC(c1ccccc1)c1ccccc1)CN1CCSCC1,317724,Fc1ccc(C(F)(C#CCN2CCSCC2)c2ccc(Cl)cc2)c(F)c1,395.877,4.883500000000003,0,2,3.24,3,0,4.880272,5.403407276772153,5.141839594196624,0.5231353651510595,0.211,3.353,0.268,0.6126556880380511
BCRL00033,C(#CC(c1ccccc1)c1ccccc1)c1c[nH]c2ncncc12,23137,Cc1cc(C(C#Cc2cn(C)c3ncnc(N)c23)c2ccc(N)cc2)ccc1Cl,401.90100000000007,4.278120000000002,2,4,82.75,2,0,6.878328,6.42268918627096,6.65050851639903,0.4556386602561399,0.383,3.312,0.483,0.6018638270944645
BCRL00034,C(#CC(c1ccccc1)c1ccccc1)c1ccccc1,221864,CCOc1ccc(C(C#Cc2ccccc2)c2ccc(CC(=O)O)cc2)cc1,370.44800000000015,4.896000000000004,1,2,46.53,6,0,5.4196362,5.396143679922333,5.407889964732284,0.0234925696199033,0.362,2.626,0.391,0.5815627177285981
BCRL00035,C(#CC(c1ccccc1)c1ccccc1)c1cnc2ncccn12,48525,NC(=O)c1cccc(C(C#Cc2cnc3ncccn23)c2ccc(Cl)cc2)c1,386.8420000000001,3.665200000000002,1,3,73.28,3,0,6.4055977,5.943778387667461,6.17468803721752,0.4618192991001173,0.302,3.277,0.329,0.6303921386272014
BCRL00036,C(#CC(c1ccccc1)c1ccccc1CCOc1ccc2c[nH]nc2c1)c1n[nH]c2ccccc12,26141,Cn1nc2cc(OCCc3ccccc3C(C#Cc3n[nH]c4ccc(C(N)=O)cc34)c3ccccc3)ccc2c1CC(=O)O,583.6480000000001,4.980700000000003,3,5,136.11999999999998,9,1,7.1289263,5.979790961168786,6.554358619164715,1.1491353159918587,0.245,3.694,0.269,0.6648860163125069
BCRL00037,C(#CC(c1ccccc1)c1cnnc2ccccc12)c1ccccc1,74497,COc1cc(F)cc(C(C#Cc2ccccc2)c2cnnc3ccc(OC)cc23)c1,398.4370000000001,4.969700000000003,0,4,44.24000000000001,4,0,6.1541886,5.782023811939032,5.96810622245206,0.3721648210260557,0.289,3.105,0.259,0.641784252250845
BCRL00038,C(#CC(c1ccccc1)c1n[nH]c2ncncc12)c1cnc2ccccn12,69332,Cn1nc(C(C#Cc2cnc3ccccn23)c2cccc(F)c2)c2c(N)ncnc21,397.41700000000014,2.9159000000000006,1,5,86.92,2,0,5.917709,6.085489662215073,6.001599267981926,0.1677807884662936,0.387,3.599,0.431,0.5721811472172619
BCRL00039,C(#CC(c1ccccc1)c1nnc2[nH]ncc2n1)c1ccccc1,367706,Cc1nn(C)c2nnc(C(C#Cc3ccccc3)c3ccc(CO)cc3)nc12,369.4280000000001,2.7426200000000005,1,5,76.72,3,0,4.7528877,5.247706177697639,5.0002969517638585,0.4948184518675607,0.338,3.28,0.457,0.5379708591640836
BCRL00040,C(#CC(c1ccccc1)n1ccc2ncccc21)c1cncc(C2CCCNC2)c1,24603,Cc1ccc(C(C#Cc2cc(C3CCCN(C)C3)cnc2N)n2ccc3ncc(C(=O)NCCO)cc32)cc1,522.6530000000002,3.494320000000001,3,6,109.3,6,1,6.796885,6.405137373610239,6.60101119359528,0.3917476399700836,0.261,3.892,0.307,0.6506299817845801
BCRL00041,C(#CC(c1ccccc1)n1ccnc1)c1cncc(-c2cncnc2)c1,110140,CC(C)(C)c1ccc(C(C#Cc2cncc(-c3cncnc3)c2)n2ccnc2)cc1,393.494,4.673700000000004,0,4,56.49,3,0,5.492837,6.080084067244719,5.786460509727096,0.5872471150352467,0.257,3.392,0.321,0.6212775052202202
BCRL00042,C(#CC(c1ccccc1)n1nnc2ccccc21)c1ccccc1,128102,Brc1ccc2nnn(C(C#Cc3ccccc3)c3ccccc3)c2c1,388.2680000000001,4.834900000000003,0,2,30.71,2,0,5.783082,5.643420401471226,5.713251204916521,0.1396616068905904,0.315,2.905,0.348,0.6099527120786884
BCRL00043,C(#CC(c1ccncc1)c1ccc2cncnc2c1)COC1CCCCO1,170053,Cc1ncnc2cc(C(C#CCOC3CCCCO3)c3ccncc3)ccc12,373.456,4.011720000000003,0,5,57.13000000000001,4,0,5.4290357,5.701749245967774,5.565392454786255,0.2727135823630373,0.23,3.659,0.294,0.6158823122844058
BCRL00044,C(#CC(c1cn[nH]c1)c1ccnc(-n2ccnc2)c1)c1ccccc1,50262,Cc1cn(-c2cc(C(O)(C#Cc3ccc(CNCC(F)(F)F)c(F)c3)c3cnn(CC(F)(F)F)c3)ccn2)cn1,566.481,4.413120000000003,2,5,80.79,7,1,6.1642427,6.149595638236702,6.156919191341252,0.0146471062090984,0.291,3.935,0.318,0.6180184222371357
BCRL00045,C(#CC(c1cncnc1)n1ccnc1)c1ccccc1,116006,Cc1cn(C(C#Cc2ccccc2Cl)c2cncnc2)cn1,308.772,3.2760200000000017,0,3,43.6,2,0,5.7215767,5.8023240001525656,5.761950345413197,0.0807473094787374,0.228,3.454,0.333,0.6233723097655812
BCRL00046,C(#CC(c1nccs1)c1cncc2ccccc12)C1CC1,286334,Nc1ncc2ccccc2c1C(C#CC1CC1)c1nccs1,305.40599999999995,3.818800000000002,1,4,51.8,2,0,5.0771422,5.376849918553263,5.226996078585103,0.2997076799363194,0.213,3.488,0.26,0.61456793895174
BCRL00047,C(#CC(c1ncon1)N1CCNCC1)c1cccc(-c2cnc3ccccc3c2)c1,98067,Nc1nc(C(C#Cc2cccc(-c3cnc4ccccc4c3)c2)N2CCNCC2)no1,410.4810000000002,2.865,2,7,93.1,3,0,5.7058396,5.976529615190258,5.841184624565955,0.2706899812486076,0.325,3.432,0.362,0.5977683584359833
BCRL00048,C(#CC(c1nnnn1C1CCCCC1)N1CCNCC1)c1ccc2occc2c1,225247,CCOC(=O)N1CCN(C(C)(C#Cc2ccc3occc3c2)c2nnnn2C2CCCCC2)CC1,476.5810000000004,3.965500000000003,0,7,89.52000000000001,4,0,5.202759,5.593453797374672,5.398106293218586,0.3906950083121723,0.276,3.618,0.241,0.6077816423556637
BCRL00049,C(#CC1(CN2CCCCC2)CCCO1)c1nc(-c2ccccc2)c2c(ncn2CCC2CCOCC2)n1,113480,N#Cc1cccc(-c2nc(C#CC3(CN4CCCCC4)CCCO3)nc3ncn(CCC4CCOCC4)c23)c1,524.6690000000004,4.568280000000004,0,7,89.09000000000002,6,1,5.617026,5.927789427144355,5.772407639673862,0.310763574940986,0.248,3.994,0.28,0.615986508012046
BCRL00050,C(#CC1(CN2CCCCC2)CNC1)n1nc(C2CCNCC2)nc1-c1ccccc1,268789,CCc1ccc(-c2nc(C3CCN(C)CC3)nn2C#CC2(CN3CCCCC3)CNC2)cc1,446.6430000000003,3.201200000000001,1,5,49.220000000000006,5,0,5.1064773,5.4442579723253255,5.275367616457462,0.3377807117357259,0.233,3.299,0.321,0.6044714280075889
BCRL00051,C(#CC1(CSc2nc(-c3ccccn3)cs2)OCCO1)c1ccccc1N1CCNCC1,307322,C(#CC1(CSc2nc(-c3ccccn3)cs2)OCCO1)c1ccccc1N1CCNCC1,464.6160000000004,3.5016000000000016,1,8,59.51000000000001,5,0,4.7560844,5.583647831289562,5.169866136714116,0.8275633891508898,0.26,3.293,0.265,0.6038837882098308
BCRL00052,C(#CC1(NCc2ccccc2)CCCCC1)c1cnc2cnccn12,216640,CN(Cc1ccccc1)C1(C#Cc2cnc3c(N)nccn23)CCCCC1,359.47700000000015,3.4979000000000022,1,4,59.45,3,0,5.2457,5.600212414558308,5.422956148532816,0.3545125320509834,0.247,3.137,0.366,0.6032785408419242
BCRL00053,C(#CC1(c2ccc3c(c2)OCO3)CCCC1)c1ccc2nc[nH]c2c1,178062,CN(C)Cc1nc2ccc(C#CC3(c4ccc5c(c4)OCO5)CCCC3)cc2[nH]1,387.4830000000002,4.216700000000003,1,4,50.38,3,0,5.479197,5.600118297810325,5.539657661554699,0.1209212725112527,0.247,2.912,0.304,0.6270419002932198
BCRL00054,C(#CC1(c2ccccc2)CN=CO1)c1ccccc1,100722,COc1ccc(C#CC2(c3ccc(C(N)=O)cc3)CN=C(CO)O2)c(OC)c1,380.40000000000015,1.4707,2,6,103.37000000000002,5,0,5.8945084,5.762919764097661,5.828714062957033,0.1315885977187454,0.364,3.637,0.277,0.59928016531433
BCRL00055,C(#CC1(c2ccccc2)c2[nH]c3ccccc3c21)c1ccccc1,340339,CN(C)C(=O)c1ccc(C#CC2(c3ccccc3)c3[nH]c4ccccc4c32)cc1,376.45900000000006,4.569200000000004,1,1,36.1,2,0,5.072329,5.086487172114665,5.079408108228353,0.0141581277726237,0.286,3.076,0.318,0.5877608537378115
BCRL00056,C(#CC1=CNc2cncn2-c2ccccc21)CN1CCCCC1,226259,CC(NC(=O)CN1C=C(C#CCN2CCCCC2)c2ccccc2-n2c1cnc2C(C)(C)C)C(F)(F)F,513.6080000000002,4.887000000000004,1,4,53.400000000000006,4,1,5.0090513,5.781542198891017,5.395296760914015,0.7724908759540057,0.253,3.971,0.268,0.5991684941360204
BCRL00057,C(#CC1C=CCCN1)c1ccccn1,336373,CN1CCC=CC1C#Cc1cccc(Cl)n1,232.714,2.3468,0,2,16.130000000000003,0,0,4.8545895,5.32641095070417,5.090500206492221,0.4718214884238962,0.215,3.843,0.261,0.5982812660915933
BCRL00058,C(#CC1C=NC=N1)c1ccccc1,56853,NC1=NC(O)(C#Cc2cccc(NC(=O)CO)c2)C(N)=N1,287.279,-1.657,5,7,146.32,2,0,6.419016,5.771032604710052,6.0950242445547325,0.6479832796893623,0.32,3.632,0.31,0.61689997023996
BCRL00059,C(#CC1CC(c2ccccc2)=NN1)c1nccc2ncncc12,168834,CCCSc1nc(N)c2c(C#CC3CC(c4ccccc4)=NN3)nccc2n1,388.5,3.2268000000000017,2,7,89.08,4,0,5.5101953,5.628829412161532,5.569512333720537,0.118634156881991,0.221,3.717,0.327,0.6102848918877766
BCRL00060,C(#CC1CC1)CCCCOc1ccccc1,317347,C(#CC1CC1)CCCCOc1ccccc1,214.30800000000005,3.6491000000000025,0,1,9.23,5,0,5.0972624,5.188681144239033,5.142971763373179,0.0914187617317088,0.333,2.141,0.484,0.5693113582134117
BCRL00061,C(#CC1CC1)COC(c1ccccc1)c1cncnc1,246016,CC(OC(C#CC1CC1)C(F)(F)F)(c1ccccc1)c1cncnc1,346.35200000000003,4.101000000000004,0,3,35.010000000000005,4,0,5.122813,5.555225092027961,5.3390191584102205,0.4324118672354808,0.222,3.988,0.326,0.5921262539875285
BCRL00062,C(#CC1CC1)COc1ccc2ccoc2c1,337194,Cc1oc2cc(OC(C#CC3CC3)C(=O)O)ccc2c1C,284.31100000000004,3.295040000000002,1,3,59.67,3,0,4.9800124,5.196337495279064,5.088174956059332,0.2163250784394641,0.254,3.413,0.468,0.5577669306176762
BCRL00063,C(#CC1CC1)COc1cccc(OCC2CCNCC2)c1,270635,CC(=O)N1CCC(COc2cc(OCC#CC3CC3)ccc2C)CC1,341.45100000000014,3.424520000000002,0,3,38.77,5,0,5.2147264,5.326097117149114,5.270411782604098,0.1113706690900322,0.354,2.543,0.481,0.5608777434546203
BCRL00064,C(#CC1CC1)Cc1cn(-c2ccccc2)nn1,136554,OC(C#CC1CC1)c1cn(-c2cccc(C(F)(F)F)c2)nn1,307.275,2.7329000000000008,1,3,50.94,2,0,5.6963725,5.666747816548057,5.681560162775371,0.0296246924546288,0.26,3.426,0.333,0.6121194238741646
BCRL00065,C(#CC1CC1)c1c[nH]c2ncncc12,106657,Nc1[nH]c2ncnc(N)c2c1C#CC1CC1,213.244,0.8838000000000004,3,4,93.61,0,0,5.7991495,5.803591289839048,5.801370401541838,0.0044417765944189,0.277,3.348,0.414,0.599510643261
BCRL00066,C(#CC1CC1)c1cc(=Nc2ccc(NC3CCCCC3)cc2)nc[nH]1,121828,C(#CC1CC1)c1cc(=Nc2ccc(NC3CCCCC3)cc2)nc[nH]1,332.451,4.148200000000003,2,3,53.07,3,0,5.810362,5.666341616422325,5.738351739302471,0.1440202457602923,0.263,3.208,0.339,0.6184119367686389
BCRL00067,C(#CC1CC1)c1cc2c(Nc3ccccc3)n[nH]c2cn1,70970,Clc1cccc(Nc2n[nH]c3cnc(C#CC4CC4)cc23)c1,308.77200000000005,4.116400000000001,2,3,53.6,2,0,6.1663485,5.814789383090853,5.990568920213639,0.3515590742455732,0.387,2.811,0.377,0.6021387712126307
BCRL00068,C(#CC1CC1)c1ccc2c(c1)Cc1ccccc1CO2,212896,CCS(=O)(=O)NC1c2ccc(N(C)C)cc2COc2c(C#N)cc(C#CC3CC3)cc21,435.54900000000026,3.3068800000000023,1,5,82.43,4,0,5.277236,5.590798761234303,5.434017373018275,0.3135627764320565,0.206,3.814,0.245,0.6213474350933821
BCRL00069,C(#CC1CC1)c1ccc2ccnc(OCc3ccccc3)c2c1,20778,CCNC(=O)Nc1cc2ccc(C#CC3CC3)c(F)c2c(OCc2ccccc2)n1,403.4570000000001,4.855800000000004,2,3,63.25,5,0,7.4557977,6.02801987255129,6.741908772411509,1.4277777997204382,0.317,2.781,0.35,0.6627330920732031
BCRL00070,C(#CC1CC1)c1ccc2nc(-c3cccc(CC4CCCNC4)c3)[nH]c2n1,130753,CCOc1cc(CC2CCCNC2)cc(-c2nc3ccc(C#CC4(NCCOC)CC4)nc3[nH]2)c1,473.62100000000027,3.685800000000002,3,6,84.09,9,0,5.5889115,5.817146588152482,5.703029060754098,0.2282350547967695,0.25,3.758,0.392,0.5955750764568525
BCRL00071,C(#CC1CC1)c1cccc(-c2c[nH]c3ccccc23)c1,254662,Cc1c(-c2cc(C#CC3(O)CC3C)cc(S(C)(=O)=O)c2)c2ccccc2n1C,393.5080000000001,3.6796200000000026,1,3,59.3,2,0,5.3181796,5.311451184644179,5.314815396017768,0.0067284227471784,0.272,3.525,0.391,0.5770111246988396
BCRL00072,C(#CC1CC1)c1cccc(-c2ccnc(-c3nn[nH]n3)c2)c1,207431,CCc1cc(-c2cccc(C#CC3(C(F)(F)F)CC3)c2)cc(-c2nn[nH]n2)n1,383.377,4.185100000000003,1,4,67.35,3,0,5.2821174,5.618543678007852,5.450330522399312,0.33642631121708,0.229,3.231,0.319,0.6161745730649225
BCRL00073,C(#CC1CC1)c1cccc(-n2cnc3cnc4ncccc4c32)c1,126040,NC1(C#Cc2cccc(-n3cnc4cnc5ncccc5c43)c2)CC1,325.3750000000001,2.811500000000001,1,4,69.62,1,0,5.708274,5.734681096191435,5.721477491912856,0.026407208557158,0.216,2.987,0.301,0.6424572089057832
BCRL00074,C(#CC1CC1)c1cccc(-n2cnnn2)c1,126236,COc1ccc(-n2cnnn2)cc1C#CC1(OC(F)(F)F)CC1,324.26200000000006,2.0914,0,5,62.06,3,0,5.6588836,5.782336356057416,5.720609963841086,0.1234527844326596,0.274,3.167,0.288,0.6260145514647525
BCRL00075,C(#CC1CC1)c1cccc(N(c2ncccn2)C2CC2)c1,43830,COCCOc1ccnc(N(c2ccc(C(N)=O)c(C#CC3(C(F)(F)F)CC3)c2)C2CC2)n1,460.4560000000002,3.595200000000002,1,6,90.57,8,0,6.407205,6.050920996475834,6.229063050651858,0.3562841083520469,0.256,3.473,0.254,0.6546658260899918
BCRL00076,C(#CC1CC1)c1ccccc1OCc1ccsc1,194285,CCOC(=O)Nc1ccc(OCc2ccsc2)c(C#CC2CC2)c1,341.43200000000013,4.657000000000004,1,4,47.56,5,0,5.384292,5.5938092964175326,5.489050711059718,0.2095171707156282,0.294,2.545,0.327,0.6173784932010199
BCRL00077,C(#CC1CC1)c1ccnc2c1N(c1ccccc1)CC2,28991,CS(=O)(=O)CCOC1(C#Cc2ccnc3c2N(c2ccc(C(N)=O)c(C(F)(F)F)c2)CC3)CC1,493.5070000000004,2.838800000000001,1,6,102.59,6,0,6.8657866,6.09420606736872,6.47999630989896,0.771580485060479,0.261,3.461,0.267,0.6634545284988888
BCRL00078,C(#CC1CC1)c1cn(Cc2ccccc2)c2ncncc12,84088,Nc1ncnc2c1c(C#CC1CC1)cn2Cc1ccccc1,288.354,2.823300000000001,1,3,56.73,2,0,5.8894324,5.934359340983025,5.91189588562518,0.0449269107156906,0.414,2.582,0.429,0.5868453196398723
